Feature	Chi2 Score	p-value
SAADAY2	3687.869540399541	0.0
SMOKERE2	3083.7928853183366	0.0
MDTALK2	3065.919115836152	0.0
BRSTEXA2	3056.889789160664	0.0
PAPSMEA2	2986.5564602848235	0.0
INTERFR2	2978.5005083400015	0.0
CRNTMAR2	2946.388333305486	0.0
EMOCTDW2	2908.5162900995133	0.0
INCOME2	2900.828546275755	0.0
MAMOGRA2	2900.7943995690507	0.0
DRNKBEE2	2886.218479620449	0.0
BODYPAI2	2885.2099921777917	0.0
SACDAY2	2860.9069444118422	8.540057381757801e-212
MONEYPR2	2860.007503555855	0.0
CHILDRE2	2846.878045750742	0.0
FAMLVIO2	2846.467801086291	0.0
STARTNE2	2846.24047286023	0.0
RESPCAR2	2836.789924066168	0.0
EMOCARE2	2835.0545128690487	0.0
POORSER2	2831.9520502272553	0.0
INVOLEA2	2831.2240007244955	0.0
EMOACCO2	2829.5325701625716	0.0
PAINTRF2	2815.1806302398873	0.0
UTI2	2814.543722685852	0.0
LEGALPR2	2811.2207219558177	0.0
SOCIAL2	2808.7045864095603	0.0
WALKBIK2	2808.643324558969	0.0
PHYACCO2	2806.1115653959646	0.0
PHYCTDW2	2805.616280090185	0.0
HERBREM2	2804.2917097290842	0.0
PHYDFCL2	2801.0500674491323	0.0
WATCHTV2	2801.0452071827735	0.0
RESPECT2	2800.7087332788665	0.0
WORNOUT2	2798.4254582575327	0.0
SELFVIO2	2795.5999378125525	0.0
PHYSACT2	2794.342544705413	0.0
SERIPRO2	2793.332543989014	0.0
CHILDMO2	2791.5345250165838	0.0
HARASSE2	2791.5177832328736	0.0
MAJEVEN2	2790.6376367663966	0.0
PHYLIMI2	2789.5265544937365	0.0
PSYCMET2	2789.5054395692277	0.0
HHMEMSM2	2788.1752962965843	0.0
DISHONS2	2788.074021440254	0.0
TRBLSLE2	2786.8016582428636	0.0
COURTES2	2786.442771364454	0.0
WORKTRB2	2786.3147175691242	0.0
WORKLOA2	2785.3530960806584	0.0
HOSPSTA2	2785.0561629251893	0.0
TIRED2	2784.7564097012396	0.0
IGNORED2	2784.491832901343	0.0
STIFF2	2783.862363290624	0.0
FEELBLU2	2782.3392666144314	0.0
WAKEUP2	2782.186031663946	0.0
INSULTE2	2781.974332079142	0.0
LEAKBOT2	2781.2268165575015	0.0
AVCIGDA2	2780.6508557029347	0.0
ACHES2	2780.121928898595	0.0
PEP2	2779.8390337975807	0.0
GETUPUR2	2778.9942892137806	0.0
TYPNIGH2	2778.570931631779	0.0
WAKEARL2	2778.568561156303	0.0
OVERHLT2	2778.5006705905375	0.0
PHYSILL2	2778.1988516462193	0.0
CRNTCAR2	2778.01289582531	0.0
BCAGE2	2777.3533733613326	0.0
ENERGY2	2776.69131420419	0.0
HOMEXPH2	2776.4772530153714	0.0
EMPLYPA2	2776.0423023624785	0.0
BCGENDR2	2773.6421528503083	0.0
DAYSLEA2	2773.3459912521334	0.0
PHYSMET2	2773.2188271959494	0.0
STNDPAI2	2772.9692522673863	0.0
NUTRIRE2	2772.899522942866	0.0
STRSCAR2	2771.834025225026	0.0
WORSREL2	2771.8313448608283	0.0
QUITJOB2	2771.613860521306	0.0
RWRDCAR2	2770.609778757015	0.0
WORKPHY2	2770.367141070394	0.0
OTHRTHE2	2770.310315457138	0.0
IRRITAB2	2769.5271563582087	0.0
FOLKMED2	2768.8073287960997	0.0
BCLANG2	2768.7350395892636	0.0
BCINCML2	2767.3044837218595	0.0
NOTSMAR2	2767.149637440462	0.0
GLASLIQ2	2767.006110749611	0.0
OTHRLEA2	2766.4988759491675	0.0
DIZZY2	2765.6394414969204	0.0
SWEATPA2	2765.360013465931	0.0
BCWGHT2	2765.357859735081	0.0
AWAREBO2	2764.918743183237	0.0
STRSSJO2	2764.7389172823932	0.0
RELATEN2	2764.6934204047243	0.0
PRTUNEM2	2764.6386181236394	0.0
AMTLEAK2	2763.661244360894	0.0
SPORTS2	2763.1492812360434	0.0
ROUTINE2	2763.092692075434	0.0
HUNGER2	2762.845731148885	0.0
BCRACE2	2761.4904207088275	0.0
MOODCHG2	2761.4677523284595	0.0
OTHEREX2	2761.2102479720756	0.0
BETTER2	2761.20456026474	0.0
BCPHAPP2	2761.0020864085755	0.0
AFRAIDO2	2760.8761461337463	0.0
CLOSDIE2	2760.1717739705864	0.0
CHLDDIE2	2760.156760791038	0.0
BCORIEN2	2759.52997463672	0.0
BCETHN2	2759.492732322427	0.0
URGEVOI2	2757.8613701565	0.0
CHORES2	2757.8057047129273	0.0
NRVOUS2	2755.530603985343	0.0
HARTRAC2	2754.419401300653	0.0
HOTCOLD2	2754.335487501417	0.0
STRSREL2	2753.393786970042	0.0
NOISES2	2753.3268737313456	0.0
SNEEZIN2	2752.5155056832436	0.0
REWRDJO2	2752.2942737793587	0.0
JOGGING2	2750.563676070174	0.0
COUGHIN2	2750.0525275846844	0.0
PICKUP2	2749.9244802699855	0.0
HDACHE2	2749.4366203567474	0.0
COLDSWE2	2749.2093574632963	0.0
LAUGHIN2	2748.832811702829	0.0
GLASBEE2	2748.3211581453525	0.0
PLANSPO2	2748.2669814616934	0.0
HUSBDIE2	2747.940778925397	0.0
LANGSAA2	2747.5269065525404	0.0
RWRDREL2	2747.3016755831395	0.0
REWRDMO2	2747.207533751591	0.0
FEARFULA2	2746.2487754276513	0.0
STRSSMO2	2745.9756637944142	0.0
GLASWIN2	2745.0017593537214	0.0
FORGET2	2743.914541250718	0.0
VAGINDR2	2743.400995346866	0.0
NITESWE2	2743.303822483477	0.0
HOTFLAS2	2742.411479356294	0.0
HOMEXPD2	2742.023533942243	0.0
PRNTDIE2	2740.3205364181	0.0
SABDAY2	2358.8071078356734	1.6712040868752025e-139
VISIPRO2	2057.029311326755	0.0
PROVIDE2	1975.5985911670848	0.0
ALTERNA2	1972.417666677743	0.0
ROLE2	1971.9759909957359	0.0
CHANGES2	1971.5695009454337	0.0
REFUSAL2	1967.4463201259352	0.0
JUDGEMN2	1966.36202233623	0.0
DISCUSS2	1965.5415178151209	0.0
ENCOURA2	1964.2558509480323	0.0
TYPEPRA2	1960.8171140338604	0.0
SPECIAL2	1958.8562715712637	0.0
PARTICI2	1958.6168331723457	0.0
DIFFPEL2	1948.5760067592355	0.0
LANGSAC2	1946.416569050795	0.0
DIFFBLE2	1941.9027766786965	0.0
ABBLEED2	1939.8682332953679	0.0
EMOTION2	1936.9228283980206	0.0
PELVICP2	1936.5885590660196	0.0
ENDO2	1931.8607064689156	0.0
ENDODIF2	1931.5727464078225	0.0
DIFFCAN2	1930.5663661532403	0.0
DIFFPRO2	1929.4974740700657	0.0
PROLAPS2	1927.8473492139556	0.0
PCANCER2	1927.3885891161774	0.0
PRIMARY2	1926.948406920375	0.0
PRIMAR12	1926.8187874720563	0.0
OBSTETR2	1926.8187874720563	0.0
OBSTET12	1926.8187874720563	0.0
PRACTIT2	1926.8187874720563	0.0
PRACTI12	1926.8187874720563	0.0
PSYCHIA2	1926.8187874720563	0.0
PSYCHI12	1926.8187874720563	0.0
PSYCHOL2	1926.8187874720563	0.0
PSYCHO12	1926.8187874720563	0.0
OTHER2	1926.8187874720563	0.0
OTHER12	1926.8187874720563	0.0
OTHER_S2	1926.8187874720563	0.0
FXHDAY2	1897.5052460358415	2.1382082468381385e-71
DADCOD2	1890.2698856606662	1.0702786716806877e-13
