Feature	Chi2 Score	p-value
SAADAY2	3703.383596491354	0.0
MDTALK2	3086.9987076981242	0.0
BRSTEXA2	3078.9626873626357	0.0
SMOKERE2	3045.986976409781	0.0
PAPSMEA2	3007.803975008555	0.0
CRNTMAR2	2966.747195776491	0.0
EMOCTDW2	2928.56829769856	0.0
MAMOGRA2	2921.9158361164373	0.0
SACDAY2	2917.8755977835135	6.789380722972789e-219
DRNKBEE2	2906.4169767098597	0.0
BODYPAI2	2904.8394437759	0.0
INCOME2	2900.4752460681552	0.0
INTERFR2	2900.3678437678705	0.0
MONEYPR2	2879.628158228206	0.0
FAMLVIO2	2867.5277041786658	0.0
CHILDRE2	2866.7212578136036	0.0
STARTNE2	2866.446827199939	0.0
RESPCAR2	2856.3979111645135	0.0
EMOCARE2	2854.448145350182	0.0
POORSER2	2851.0235670812185	0.0
INVOLEA2	2850.5852836968143	0.0
EMOACCO2	2848.6128328790323	0.0
PAINTRF2	2834.464455818516	0.0
UTI2	2834.1385750803834	0.0
LEGALPR2	2830.408465512625	0.0
SOCIAL2	2828.199843788154	0.0
WALKBIK2	2827.1412951921297	0.0
PHYACCO2	2825.1946158289456	0.0
PHYCTDW2	2824.784364550085	0.0
HERBREM2	2823.565712429572	0.0
WATCHTV2	2820.4403835503535	0.0
PHYDFCL2	2820.2223034451076	0.0
RESPECT2	2819.6759075328155	0.0
WORNOUT2	2815.9267721676106	0.0
SELFVIO2	2815.0361171563286	0.0
PHYSACT2	2813.340376499608	0.0
SERIPRO2	2811.7380866342555	0.0
CHILDMO2	2810.747203888497	0.0
HARASSE2	2810.6519258199082	0.0
MAJEVEN2	2810.099423327563	0.0
PSYCMET2	2808.8587910067313	0.0
PHYLIMI2	2808.6120557968898	0.0
DISHONS2	2807.100367333736	0.0
HHMEMSM2	2806.5104804268685	0.0
TRBLSLE2	2805.8596589652075	0.0
COURTES2	2805.3692590319865	0.0
WORKLOA2	2805.335628826797	0.0
WORKTRB2	2805.267426183102	0.0
HOSPSTA2	2804.436831386137	0.0
IGNORED2	2803.5483774057475	0.0
TIRED2	2803.5091406470306	0.0
STIFF2	2803.1765299194135	0.0
WAKEUP2	2801.7246571846895	0.0
ACHES2	2801.4928976886417	0.0
INSULTE2	2801.297864062589	0.0
FEELBLU2	2800.299436551521	0.0
LEAKBOT2	2800.1154296729587	0.0
AVCIGDA2	2799.774988316017	0.0
GETUPUR2	2798.498937721411	0.0
PHYSILL2	2798.482734885463	0.0
WAKEARL2	2797.4823670839496	0.0
CRNTCAR2	2797.2764251162557	0.0
OVERHLT2	2797.0776494724937	0.0
PEP2	2797.051083689996	0.0
BCAGE2	2796.4229869915725	0.0
HOMEXPH2	2794.9622196264604	0.0
ENERGY2	2794.6642453726145	0.0
NUTRIRE2	2792.8399102290114	0.0
BCGENDR2	2792.6384677290494	0.0
TYPNIGH2	2792.3384691081546	0.0
PHYSMET2	2792.332900304654	0.0
STNDPAI2	2792.186865508852	0.0
DAYSLEA2	2792.1100393528427	0.0
QUITJOB2	2790.898402713835	0.0
EMPLYPA2	2790.5506828170605	0.0
OTHRTHE2	2789.5253723864307	0.0
WORKPHY2	2789.3541998005867	0.0
BCLANG2	2788.576808457599	0.0
IRRITAB2	2788.2724092562266	0.0
WORSREL2	2787.9035933243667	0.0
FOLKMED2	2787.861895827828	0.0
STRSCAR2	2786.609288389196	0.0
BCINCML2	2786.5116652375395	0.0
NOTSMAR2	2785.936970314865	0.0
GLASLIQ2	2785.2820750731858	0.0
RWRDCAR2	2785.2802969752624	0.0
OTHRLEA2	2785.1980777298904	0.0
BCWGHT2	2784.7921814790325	0.0
SWEATPA2	2784.5921925587136	0.0
AWAREBO2	2784.1989284659817	0.0
PRTUNEM2	2783.9513360200376	0.0
RELATEN2	2783.8128566858886	0.0
STRSSJO2	2783.401017973168	0.0
ROUTINE2	2782.927714703404	0.0
AMTLEAK2	2782.619318033102	0.0
DIZZY2	2782.527541888903	0.0
SPORTS2	2782.0082361938744	0.0
HUNGER2	2781.998812733983	0.0
OTHEREX2	2781.090058527039	0.0
BCRACE2	2781.0042465049937	0.0
AFRAIDO2	2780.8109653741913	0.0
BCPHAPP2	2780.497565232349	0.0
BETTER2	2780.4151793593787	0.0
MOODCHG2	2780.188405588355	0.0
CLOSDIE2	2780.1138333015706	0.0
CHLDDIE2	2779.283648563777	0.0
BCORIEN2	2779.1510333408282	0.0
BCETHN2	2779.0439354268283	0.0
CHORES2	2776.9634431336885	0.0
URGEVOI2	2776.9115223332465	0.0
NRVOUS2	2776.7131955702957	0.0
HOTCOLD2	2774.0697623658675	0.0
HARTRAC2	2773.07256562957	0.0
NOISES2	2771.818480613199	0.0
STRSREL2	2771.76109800245	0.0
SNEEZIN2	2771.3205056044194	0.0
REWRDJO2	2771.100865097736	0.0
JOGGING2	2769.401567242298	0.0
COUGHIN2	2768.818201326729	0.0
PICKUP2	2768.685889733238	0.0
COLDSWE2	2767.7393642318725	0.0
LAUGHIN2	2767.573146964269	0.0
PLANSPO2	2767.3806208274136	0.0
HDACHE2	2767.252586533166	0.0
GLASBEE2	2767.091289047607	0.0
HUSBDIE2	2766.418941224078	0.0
REWRDMO2	2766.214933661269	0.0
RWRDREL2	2765.9770093334823	0.0
LANGSAA2	2765.3272219216587	0.0
FEARFULA2	2764.8651643571966	0.0
STRSSMO2	2764.594946636502	0.0
GLASWIN2	2764.140920288267	0.0
FORGET2	2762.997874466538	0.0
NITESWE2	2762.2975806037794	0.0
VAGINDR2	2761.6950426668986	0.0
HOTFLAS2	2761.2564028937795	0.0
HOMEXPD2	2761.0568535291695	0.0
PRNTDIE2	2759.2018490439705	0.0
SABDAY2	2424.906813485606	2.3216988725823914e-147
VISIPRO2	2119.051341452011	0.0
PROVIDE2	2036.1458732912338	0.0
ALTERNA2	2034.423548054178	0.0
ROLE2	2033.7657338048202	0.0
CHANGES2	2033.522454600378	0.0
REFUSAL2	2029.3337524689032	0.0
JUDGEMN2	2028.3408417065966	0.0
DISCUSS2	2027.3526427404677	0.0
ENCOURA2	2026.1380058853977	0.0
TYPEPRA2	2022.7216413887445	0.0
SPECIAL2	2020.7567201044114	0.0
PARTICI2	2020.5446337742858	0.0
DIFFPEL2	2010.3569947323563	0.0
LANGSAC2	2006.4631842585886	0.0
DIFFBLE2	2003.323922330892	0.0
ABBLEED2	2001.27144280495	0.0
PELVICP2	1998.6855581788577	0.0
EMOTION2	1998.2269052760857	0.0
ENDO2	1993.111101869706	0.0
ENDODIF2	1992.8209755661471	0.0
DIFFCAN2	1991.844236295478	0.0
DIFFPRO2	1990.77278817574	0.0
PROLAPS2	1989.1128573954772	0.0
PCANCER2	1988.6529937925745	0.0
PRIMARY2	1988.212419481241	0.0
PRIMAR12	1988.0829616384149	0.0
OBSTETR2	1988.0829616384149	0.0
OBSTET12	1988.0829616384149	0.0
PRACTIT2	1988.0829616384149	0.0
PRACTI12	1988.0829616384149	0.0
PSYCHIA2	1988.0829616384149	0.0
PSYCHI12	1988.0829616384149	0.0
PSYCHOL2	1988.0829616384149	0.0
PSYCHO12	1988.0829616384149	0.0
OTHER2	1988.0829616384149	0.0
OTHER12	1988.0829616384149	0.0
OTHER_S2	1988.0829616384149	0.0
INTDAY2	1544.720597045146	5.1254715779481486e-40
FLGSABV2	1525.4109260365735	0.0
PELVIC2	1504.1376916990755	2.659000811895635e-303
LUBRICN2	1498.837901532389	3.6200436862881267e-302
LANGSAB2	1496.183177099021	0.0
INTCOUR2	1493.2449638064159	9.809646777037942e-304
IMPORSE2	1492.0371269901134	2.451359547878225e-306
SATISFY2	1491.352610978681	2.4965933521261043e-303
NOSEXOT2	1489.7219727757117	0.0
ENGAGSE2	1488.429288129933	0.0
TOUCHIN2	1488.4098193861703	1.0671579826972337e-302
MASTURB2	1486.844961004801	2.3104645019972676e-302
AROUSED2	1485.7115658717494	4.0426950497111095e-302
DESIRSE2	1484.923596729017	8.270062748780944e-305
ORALSEX2	1484.3285088731755	8.001302787833965e-302
KISSING2	1482.5164085759743	1.95713241350842e-301
PHYSPLE2	1481.9317783031938	2.6118362763483513e-301
NOPARTN2	1480.8550894074224	5.10003719846545e-310
PARTPRO2	1479.8234659278842	8.51287636865877e-310
PHYSPRO2	1479.822597098967	8.516550321453e-310
LMPDAY2	1428.9775400978956	4.949824875563091e-06
PHYDAY2	1428.775915724903	3.25926246018751e-32
SPEDAY2	1374.89071846686	1.2826758927079936e-16
HRMDAY2	1310.0123692025184	7.885188367822951e-13
AGE2	523.593500300425	4.210048904252092e-86
SYSBP22	417.64458057552577	2.200735141234144e-20
SYSBP12	417.03490492193487	1.0172724522581664e-18
PULSE2	393.72466125026205	1.8585808051816844e-32
DIABP12	361.4934614885299	2.622598180881384e-25
DIABP22	353.9019016993011	1.5405733508938339e-21
RELAT42	298.98175595188684	2.003205511196475e-12
HYSTDAY2	270.4448477057282	7.61782286506795e-18
LONELY2	259.3273736643952	1.5474900300528012e-48
QLTYLIF2	257.8549734996073	1.1423697057702065e-36
HAPPY2	252.64997153134348	3.831905399755791e-47
DISLIKE2	251.0194564713955	8.385550976545011e-47
CLOSE2	248.9969248814738	9.65473329086369e-20
DEPRESS2	248.1041489532425	3.39957001964418e-46
PILING2	245.14647322154156	1.2388434881163684e-43
MARITAL2	244.2455166203665	5.859255751192098e-40
BLUES2	244.05988895973871	2.3671891034707064e-45
FAILURE2	243.2874873140758	3.428724153054934e-45
BOTHER2	242.68376916140062	4.580138136842111e-45
KEEPMIN2	241.3554866253304	8.659535959523722e-45
TALKLES2	239.33752513737758	2.2783109644241854e-44
EFFORT2	238.87096466340665	2.8492102017930244e-44
HTMETHO2	238.6192003242777	2.5121067805243974e-46
ENJOY2	238.49236734852977	3.416025056252496e-44
HOPEFUL2	235.4954482367465	1.4357259436343471e-43
GETGOIN2	234.20670542385054	2.661378277149673e-43
FEARFUL2	233.04274488211746	4.6465834173388414e-43
SCALE2	232.954581359078	4.846896916099019e-43
RELAT72	231.9058316512104	1.7870032122375535e-30
APPETIT2	228.6467803609736	3.808206133337171e-42
UNFRNDL2	226.00074778508366	1.3497437263611196e-41
CONTROL2	223.89140116954744	2.8493451286290192e-39
HELPSIC2	223.6521845577987	3.189338433678453e-39
SAD2	223.45961259883393	4.5469691995511327e-41
CHNGJOB2	223.33824051229945	2.0199066313510304e-45
FLGINTV2	222.70950808224333	2.7506295184295915e-45
BMDFLG2	221.70163922625548	4.5121526761630795e-45
YOURWAY2	221.02889118714705	1.0973541950206927e-38
CONFIDE2	220.409651537191	1.4688177480393303e-38
TAKETOM2	218.88427160631628	3.011491000376019e-38
VOLUNTE2	218.0624060866807	2.693939017677549e-44
GOOD2	217.91244205343887	6.429807078589477e-40
RESTLES2	217.77819908412468	6.855244186408972e-40
OSTEOPR2	213.48548422623708	4.89886105397118e-41
CRYING2	213.205067023418	6.073250881030918e-39
OSTEPR12	211.46479412864687	6.864423177684235e-43
HOUSEHL2	209.32751331531497	1.9587049618691143e-42
LISTEN2	207.31328919088855	6.911493641783082e-36
ABILITY2	203.76398890988563	3.6478763806227924e-35
LANGINT2	201.31658150832388	1.7442993569918905e-36
STATUS2	199.51336507801582	1.2989103671477605e-29
HIPMEAS2	197.0749523750524	7.956185805008059e-40
OUTCOME2	196.73661675041288	1.5370690297027757e-35
BCKPAIN2	193.95358482245547	6.123519548863532e-37
HBCHOLE2	193.48886866625085	7.661340545246405e-37
OTHMED12	191.06848634168742	1.50794241074822e-38
ESTRNJ12	190.36414537695356	2.1289049229870357e-38
HEARTAT2	189.99867989804284	2.5460357421024116e-38
WASTMEA2	189.91419889211286	2.6535488343930074e-38
DIURET12	189.78591086519052	2.8255547233273157e-38
MIGRAIN2	189.50116752344167	5.234852367058873e-36
OSTEOAR2	188.3418331654175	9.150043148065606e-36
PRGNANT2	188.17947280505894	6.203431568870882e-38
PAIN12	188.1525826564749	6.285622712477526e-38
REGVITA2	186.32332340185266	1.538762556840131e-37
HYSTERE2	186.1849610657926	2.5850217955230434e-35
OOPHORE2	185.82686819686123	1.9619275340406714e-37
SLEEP12	184.14330057282336	4.471418378487077e-37
ANTICO12	184.0193984920181	4.750857675859626e-37
CHOLST12	183.68084976278953	5.60666857346595e-37
COMBIN12	183.61010751893485	5.804107139323804e-37
ANEMIA2	183.50716767537853	9.379101332876817e-35
BROKEBO2	183.44920599380922	8.352581188764906e-33
UTERPRO2	183.4181138933351	9.78969929447141e-35
OTC12	183.2536956619088	6.90971258077363e-37
DANDC2	183.2472042559183	6.9316901400119834e-37
THYROID2	183.19964831487988	1.0874694738446761e-34
BP12	183.1755754790467	7.178889233118964e-37
ANGINA2	182.96102475097086	7.973325766470752e-37
PROGES12	182.9124674541656	8.164988172859159e-37
HIGHBP2	182.77039267920745	1.3369112668253113e-34
INSULN12	182.58219405865162	9.596677907316928e-37
THYROI12	182.48822209497095	1.0048110599508529e-36
STEROI12	182.31356037043463	1.0944328009834681e-36
HEART12	182.2730458896101	1.116338191853378e-36
FIBROID2	182.2223387316331	1.7401913969428464e-34
NERVS12	181.81983150147403	1.3933858242772249e-36
BCP12	181.5535685667688	1.5871966420484772e-36
FERTIL12	181.4943069988944	1.6338748202722208e-36
THYRREM2	181.4943069988944	1.6338748202722208e-36
DIABETE2	180.49756279962864	3.9887185629516644e-34
BLEEDNG2	180.33311863537966	2.8830635781834148e-36
STROKE2	180.17800534331585	4.651160074881377e-34
ESTROG12	174.14655457846493	5.93294681535583e-35
CANCERS2	173.46079976186752	8.294544921905707e-35
RELAT52	162.51739927249417	0.00013065427685170162
AGE72	157.10688879537656	5.297291020994504e-12
AGE62	147.89285221693896	2.1056120328682263e-05
RELAT62	141.73133306181452	8.364512916316327e-10
SPSCMOD2	120.09638529750694	1.5553689521206588e-23
FLGCV2	71.60947474995434	1.9111645194286537e-13
FLGDIF2	71.44138986865782	2.0692503983258735e-13
DIURTW22	67.69321489799876	1.2140977970720476e-12
BLDRWAT2	65.44216239111924	2.2583106557808076e-09
PREGNAN2	63.416063902606936	2.929883142521064e-10
EATDRIN2	63.03253422047803	1.0870287588216279e-11
STRTPER2	61.33864546497048	2.4052638973338168e-11
BLDDRAW2	60.42666107504556	3.686489737468649e-11
ALCHL242	60.30771549139237	3.897506772833902e-11
BONES22	54.870239580066844	7.383733477055434e-05
FLGSAAV2	47.725764609645644	2.4357238049687956e-10
RACE	47.11776089706011	4.447773423629201e-06
DIURET22	40.109211495419906	4.3354901945290344e-07
DESCPER2	36.042016979332445	0.006969068885449976
VITOTH12	35.20521622316158	0.0004343302237052468
ESTRDA22	32.16554573193821	1.5167461645287417e-05
MENSFLO2	31.183997373610328	0.0002752659931547964
BLD3MON2	29.701894829504727	4.4783808971333547e-05
PAINTW12	24.821282838814312	0.0003684717128798392
JOB2	24.152066151350073	0.0004896661581494493
ESTRTW22	23.939106410390195	0.0005358995000221005
ESTROG22	21.015117416224548	0.0018231772554149967
SEX42	20.80122262444269	0.001991713144995797
OTC52	19.96937735718168	0.002804366073789015
SEX12	19.107859251016574	0.003985300752129795
SEX72	18.44516327408728	0.005210878995922204
ESTRNJ22	18.110348238636313	0.005962266091693089
SEX82	17.911115185510013	0.006458204397270191
HAPPEN22	17.464353292441423	0.007719960275276825
OTHRTW12	17.268067580492087	0.00834693894113192
PAINTW22	17.244393564368593	0.008425807226031758
BPTW22	17.127998868038592	0.008824163873249555
SEX52	17.089266707420098	0.008960714514416
